Date,All projects,Wikipedia,Commons,Wiktionary,Other Wikis,Wikisource,Wikivoyage,Wikibooks,Wikiquote,Wikinews,Wikiversity
2010/10/01,11819,10237,888,316,21,88,28,39,23,17,22
2010/11/01,11482,9933,842,291,26,86,27,38,25,36,25
2010/12/01,11434,9955,791,246,32,82,33,38,25,16,31
2011/01/01,12623,10913,924,261,37,94,36,37,32,18,28
2011/02/01,11771,10108,881,259,35,99,35,39,22,16,29
2011/03/01,12038,10356,953,256,33,107,42,41,20,26,38
2011/04/01,11588,9898,948,234,36,98,26,38,23,20,28
2011/05/01,11655,10035,930,225,37,86,25,40,27,25,27
2011/06/01,11768,10090,990,230,25,90,20,38,26,15,25
2011/07/01,12057,10359,1040,241,37,82,29,35,29,15,22
2011/08/01,12182,10427,1107,231,44,86,24,28,26,11,20
2011/09/01,11880,9969,1420,240,50,79,30,32,24,19,18
2011/10/01,11903,10037,1173,273,55,91,31,46,22,21,24
2011/11/01,11648,9918,1084,260,53,76,29,45,21,37,20
2011/12/01,11901,10214,1051,253,51,78,34,41,21,17,29
2012/01/01,12598,10876,1164,258,44,88,30,49,24,20,29
2012/02/01,11897,10083,1099,256,53,92,39,43,24,20,30
2012/03/01,12158,10297,1183,245,51,91,42,49,22,20,28
2012/04/01,11897,10105,1124,256,46,75,32,39,22,28,20
2012/05/01,11971,10247,1129,271,58,80,28,46,17,17,21
2012/06/01,11788,9997,1169,265,42,73,30,43,21,21,16
2012/07/01,12166,10345,1173,283,37,91,32,35,20,19,22
2012/08/01,12336,10513,1250,269,40,87,41,40,11,18,23
2012/09/01,12177,9868,1817,257,60,78,31,30,16,23,20
2012/10/01,11976,10020,1327,256,152,75,41,36,21,17,14
2012/11/01,11707,9785,1170,253,241,66,33,37,44,17,15
2012/12/01,11943,10079,1184,257,186,84,34,41,44,19,20
