Afghanistan	13	2	0
Aland Islands	4	1	0
Albania	40	15	1
Algeria	16	3	0
American Samoa	1	1	0
Andorra	1	0	0
Angola	1	0	0
Anonymous Proxy	68	21	3
Antigua and Barbuda	3	0	0
Argentina	336	96	9
Armenia	55	17	1
Aruba	5	3	1
Asia/Pacific Region	47	9	0
Australia	4459	1333	165
Austria	379	90	4
Azerbaijan	58	20	2
Bahamas	13	4	0
Bahrain	27	8	1
Bangladesh	248	81	1
Barbados	6	1	0
Belarus	67	24	1
Belgium	541	149	16
Belize	7	2	0
Benin	1	0	0
Bermuda	5	1	0
Bhutan	10	1	0
Bolivia	24	2	0
Bosnia and Herzegovina	67	34	3
Botswana	4	0	0
Brazil	768	258	25
Brunei Darussalam	12	8	1
Bulgaria	232	85	11
Burundi	1	0	0
Cambodia	39	6	0
Cameroon	3	0	0
Canada	6666	2088	221
Cape Verde	2	0	0
Cayman Islands	7	2	0
Chile	201	67	6
China	587	153	11
Colombia	147	44	5
Congo, The Democratic Republic of the	1	0	0
Costa Rica	62	19	0
Cote D'Ivoire	1	1	0
Croatia	176	67	7
Cuba	22	6	1
Cyprus	77	24	3
Czech Republic	350	101	11
Denmark	484	143	12
Dominica	8	3	0
Dominican Republic	44	14	1
Ecuador	52	24	2
Egypt	159	43	0
El Salvador	19	3	1
Estonia	126	55	8
Ethiopia	21	4	0
Europe	149	42	2
Faroe Islands	8	2	0
Fiji	10	4	1
Finland	558	168	21
France	1760	482	31
French Guiana	2	0	0
French Polynesia	3	1	0
Gabon	1	0	0
Gambia	1	0	0
Georgia	67	35	5
Germany	2917	823	80
Ghana	32	8	1
Gibraltar	5	2	0
Greece	392	129	9
Greenland	1	0	0
Grenada	2	1	0
Guadeloupe	3	1	0
Guam	4	1	0
Guatemala	25	3	0
Guernsey	3	0	0
Guinea	1	1	0
Guyana	6	3	0
Haiti	6	3	0
Holy See (Vatican City State)	2	1	0
Honduras	18	2	0
Hong Kong	439	151	8
Hungary	319	110	11
Iceland	75	16	2
India	5417	1513	95
Indonesia	406	149	13
Invalid IP	7	4	3
Iran, Islamic Republic of	284	95	9
Iraq	21	5	0
Ireland	879	290	27
Isle of Man	27	6	1
Israel	659	223	23
Italy	1160	404	36
Jamaica	35	11	0
Japan	695	210	22
Jersey	16	9	2
Jordan	52	20	0
Kazakstan	42	12	0
Kenya	78	16	0
Korea, Republic of	412	151	11
Kuwait	60	20	2
Kyrgyzstan	18	6	1
Lao People's Democratic Republic	7	0	0
Latvia	72	34	3
Lebanon	79	28	0
Lesotho	1	0	0
Liberia	2	1	0
Libyan Arab Jamahiriya	7	6	0
Lithuania	94	31	3
Luxembourg	58	20	2
Macau	16	3	0
Macedonia	62	24	4
Madagascar	4	0	0
Malawi	3	1	0
Malaysia	470	177	12
Maldives	45	17	2
Mali	3	1	0
Malta	62	16	1
Martinique	2	0	0
Mauritania	1	0	0
Mauritius	27	6	1
Mexico	409	111	10
Micronesia, Federated States of	1	0	0
Moldova, Republic of	32	8	0
Monaco	4	1	0
Mongolia	20	6	0
Montenegro	16	9	2
Morocco	38	9	1
Mozambique	6	2	0
Myanmar	2	1	0
Namibia	9	3	0
Nepal	78	20	1
Netherlands	1368	459	64
Netherlands Antilles	16	4	0
New Zealand	832	260	31
Nicaragua	14	6	0
Niger	1	0	0
Nigeria	79	14	0
Northern Mariana Islands	3	2	0
Norway	657	186	20
Oman	30	8	0
Pakistan	687	190	14
Palestinian Territory	17	7	0
Panama	33	12	0
Papua New Guinea	3	0	0
Paraguay	25	4	0
Peru	99	39	2
Philippines	895	354	39
Poland	635	182	15
Portugal	299	108	12
Puerto Rico	92	30	1
Qatar	63	13	2
Reunion	4	1	0
Romania	351	130	9
Russian Federation	953	266	24
Rwanda	7	3	0
Saint Kitts and Nevis	5	2	0
Saint Lucia	7	3	1
Saint Vincent and the Grenadines	1	0	0
Samoa	2	0	0
San Marino	1	0	0
Satellite Provider	6	2	0
Saudi Arabia	194	57	5
Senegal	4	3	0
Serbia	293	107	11
Seychelles	2	0	0
Singapore	638	241	17
Slovakia	112	30	2
Slovenia	158	41	7
Solomon Islands	1	0	0
Somalia	4	0	0
South Africa	366	115	9
Spain	1021	301	25
Sri Lanka	177	46	2
Sudan	12	1	0
Suriname	4	0	0
Sweden	1006	308	28
Switzerland	503	132	11
Syrian Arab Republic	6	3	0
Taiwan	238	73	1
Tajikistan	2	2	0
Tanzania, United Republic of	21	7	1
Thailand	299	125	11
Tonga	2	0	0
Trinidad and Tobago	48	8	0
Tunisia	16	4	0
Turkey	393	128	11
Turkmenistan	1	1	0
Turks and Caicos Islands	1	1	0
Tuvalu	1	1	0
Uganda	28	2	0
Ukraine	367	106	5
United Arab Emirates	320	101	1
United Kingdom	15157	4835	642
United States	50197	14080	1377
Uruguay	60	20	3
Uzbekistan	12	2	0
Vanuatu	2	1	0
Venezuela	99	30	2
Vietnam	140	46	1
Virgin Islands, British	8	3	0
Virgin Islands, U.S.	5	2	0
Yemen	5	1	1
Zambia	5	1	0
Zimbabwe	12	1	0
